Stars,HelpfulVotes,Review,Polarity,sentiment(Polarity)
5,69,"1) Firstly, you may be confused whether to buy Google Home or Alexa. If you are an Amazon Prime customer, the choice is a no-brainer because you get Amazon Music for free as well as tight integration with Amazon Products.2) The sound produced by this device is good for filling one bedroom with rich sound. Arijit Singh never sounded so deep :).3) The microphone is super sensitive. You can even whisper ""Alexa"" and the device will pick it up.4) The Alexa skills available are amazing which can be turned on through the companion app. Few skills you should try are 4.1) Radio tuning=> Just say Alexa Play Radiocity. Get back into the radio habit. 4.2) For the religious => Just say Alexa wake me up at 6 AM to Suprabhatam. Done deal. 4.3) For the romantic => Just say Alexa open Love Shayari. Ghalib at your finger tips. 4.4) Want a multiplayer quiz fight => Just say Alexa QuizMaster. You will be playing it at 10 AM. 4.5 ) Interactive Stories for Kids => Just say Alexa MagicDoor. 4.6) Apps by Magoosh to build vocabulary are awesome.5) Alexa can calculate, tell you the calories in an egg, convert feet to inches and all the regular things.6) The most useful features 6.1) Alexa add milk to shopping list. Viola! milk is added as a list item in the shopping list on your app. Very useful for my wife. 6.2) Drop In using your Alexa App to talk to people at home. Very useful.7) Setting Alexa up is a breeze and since she is cloud based the intelligence keeps improving.Alexa has thoroughly impressed my family and now everyone wants one for their room. Waiting for the next sale.",0.244455782,Positive
1,63,"Hi The functionality of this product is awesome, only issue is the speaker quality is really bad. Within 10 days of me using it the speakers are jarring and sound is bad. I cant even get a replacement now.Spoke with Amazon customer support they said they arent the manufacturers of the Amazon Echo dot :P .. Most hilarious thing i have heard . Anyways speaker quality is bad , functionality is great .",0.185,Positive
5,51,It’s jus beyond awesome.👌🏻😍😍😍 I thought dot is bit small so the sound quality may affect due to size but really it’s really a beast. The sound system is jus beyond my expectations in one room the sound to the full volume is very loud.Pros: I have syska led smart bulb too which works wonder wid this amazon dot.It’s also works with fire tv stick.Sound quality is jus fab.Look wise it’s beautifulCan be commanded being in different room.Cons:Cannot take multiple instructions especially when u r operating wid fire stick.Please don’t take a second thought to buy this beauty.I got this for 3k in amazon great festival.,0.219285714,Positive
3,51,"""My Wife Can't Listen to me, But Alexa Can"" The new echo dot 3rd gen is much better than previous model. I got it at 2700 after all discount and cash back which is again a steal a deal.Now after using it for 2 months, here is my genuine review which help others future buyers to decide to buy or not to buy this product.-What I like About This Product.1. Built Quality is perfect and strong.2. Sound Quality with balanced bass.3. Super Voice Detection thanks to 4 Inbuilt mic.4. Fast Bluetooth connectivity and sync. Process.5. Calling through Alexa is super fun and easy.6. Cristal clear voice quality.7. 3.5mm Audio Jack is again + for this product.8. Best ecosystem for smart home control.9. Perfectly work with all Alexa enabled device.10. Multiple Alarm, Reminder, To-Do List works perfect.11. Alexa calling is super fun and I really enjoyed this features subject to the other person having account in Alexa.12. Can create shopping list for you. But can not tell deals and promotions, so be careful and check the offers before placing the order.What I don't like.1. Not answer all the questions correctly.2. Only support English language.3. Get stuck after turning it on after a long break and I have re-start the device to make connection again which irritate a lot.4. Answer is not as clear at Google Home mini.5. Listen only clear english, so if you are Not Good in English then Alexa will irritate you a lot.Addition details:I would recommend this device to those who use Alexa enabled device in their home or office..but if you are using Google enabled device then I would not recommend this device.",0.188351886,Positive
5,51,"3rd gen product is just awesome. Very much improved version...indian english accent is no longer the issue . It's skill based product and Not search based like google home , so I guess you might not get answers to all questions since the skill need to be added. I have not used Google home...not sure if it searched in google engine and find answers to all your query. Part sound quality is just awesome...you do not need a speaker to connect. Looks wise an excellent one. I am fan of it now.",0.4825,Positive
5,47,Don't know if there's a better thing to buy than this at 1k!Complete value for money!Alexa is lob..,0.5,Positive
4,27,"Verdict-While the previous Echo Dots were cheap ways to extend smart home control all over your home, they weren't the most attractive devices and had weedy sounds. Bought it on tha second day of Prime day in a combo-The Amazon Echo Dot (3rd Gen) as a vast improvement on the originals, even though it costs exactly the same.-The new finish looks fantastic and the new Echo Dot is a device that you'd happily put out on show. Audio has been dramatically improved, too, both in terms of quality and loudness, which makes Alexa easier to understand and means that the odd bit of music or radio is a possibility.-If you're looking to put Alexa in more rooms, then this is the device to buy.Pros-Clear and loud audio-3.5mm and Bluetooth audio outputs-Same price as old model-Improved designCons-No longer USB-powered-Not ideal for music",0.272426647,Positive
1,31,"Echo dot is a hands free speaker not more than that. Most of the time don't understand ur query. It do not tell u latest new(actually it not respond to news query), recepies etc. Also to listen to songs we have take prime membership of amazon. Waste of money....rather to buy a Bluetooth speaker, which includes battery also.... disappointed. I bought it as my daughter's birthday gift. Now I m trying convince her to let me return it, but c not agreeing for it bcoz so much ad is there on tv ....c thinks it's a must have Gadget and to show off her friends.",0.057142857,Positive
5,33,"My childhood friend and a great well-wisher Sri Radha Krishnan gifted me Rs. 3000/- and wanted me to buy anything that I like.I thought, I should buy something that is very special in my lifetime and fortunate to get a Third Gen Amazon Eco Dot at that price during Amazon Great Indian Sale.I feel, my REVIEW here should be different and I am not repeating anything said already.I placed ECO Dot permanently into an electrical socket by doing some neat homework, which you can see in the pictures.What I learnt, We need to ask diplomatically to the point first.For example, I asked Alexa, calorie value of a banana ? and Alexa could not answer. She answered beautifully when the same query put into a different way, nutrition value of a banana.Kindly include (from 1960s) old classical songs from Tamil and Hindi movies.Hope, Alexa learn more and more every day & soon create a very rich database and focused locally as well..TIPS:1. If you like to keep on wall power socket as I did, you must use only original 3M Double sided tape (https://www.amazon.in/gp/product/B013JM1SCY/ref=oh_aui_detailpage_o04_s01?ie=UTF8&psc=1). After pasting the tape and attaching both plug and the unit leave an hour for bonding before inserting into a wall socket tightly to avoid falling down. If you do not like, you can separate them neatly anytime in future by using a Dental floss/ fishing rod nylon thread.2. I have paired the ECO DOT with my AV Receiver (ONKYO HTS 3370) easily but you need little patience. Switch on ECO DOT and the Blue Tooth Device make them search and pair. Alexa will confirm and you need to say ‘Alexa connect to speaker’ in future. While configuring, never keep open other BT devices like your Laptop/ Mobile to avoid over lapping.",0.198696145,Positive
1,20,"The media could not be loaded. /*Here I'm Uploading video, enjoy*/Most idiotic device I every bought, never play original songs. Always play some or the other remix or instrumental songs.I wish I would have bought Google home or some Bluetooth speakers./*Some attachments after talking to Amazon Echo Dot Executive*/After my above review, Echo Dot representative called me, I'm glad for this.I showed him the issue with song selection but he told me that it is because of library doesn't have songs that I'm selecting and it is better to add gaana.com from alexa app, after following his guidelines, I repeated and recorded issues. Please see the screen shots and listed to audio for Alexa and have fun (Now I realise amazon review doen't support audio but only video).You can buy this device if you have to have personalised fun in your life. The is not way of attaching Audio files only video so this is again funny, if I wan't to attach some feedback for Alexa why do I need Video :). This is called mismatch in basic requirement.I'll try to get capture view than attach here for same issues added as image. Till than enjoy.",0.145833333,Positive
1,25,"I am writing about my genuine experience. I have Google home mini and I built an Attic so I thought why not buy another smart system like Amazon echo 3 but it was my mistake to buy it,like whenever I asked little complicated questions it says sorry I don't know it and whenever I say you're useless it also says sorry I don't know about that also, it sounds little better than Google home mini and also catches microphone sound little better but what's the point if it can answer what you ask for, if you want to listen songs you have to you have prime membership otherwise you can't listen songs so I did not have any prime membership and I have to pay 999 for that just listen songs, 8 out of 10 times it fails to answer your questions so it will get to your nearv pretty quickly,if you have low temper then you can buy it, my only advice is use your hard earned money properly and buy a Google home mini it will never disappoint you, like never",-0.060548942,Negative
5,18,Its just one if the best deal i ever got on amazon I purchased it with a 12 watt wipro light at 2200 and enjoying it since last 2 daya its my 4th echo device and yes I would highly recommend buying a product with this just search echo dot wall mount you ll see a 800-900 rupees wall mount trust me it will make a huge difference between sound and transportability plus when its on wall if will recognise your voice quicker as it faces you on the wall seriously guys the combination of these two is compulsory,0.315833333,Positive
1,19,"Before buying this product please keep these points in mind:- You need amazon prime account for Rs. 999 per year to listen to music from amazon. Otherwise you will have to use free and full of advertisement services like Saavn, Gaana, etc.- Echo dot skips to next song abruptly without completing current song most often.- If you try to stream music from your Amazon Prime Music app on your iPhone to Echo Dot or Echo Dot stereo pair, the app cannot control the music. You cannot scrub music or know which song is playing or move to next music in the playlist. The control magically switches the Alexa app that you need to have on your phone to setup Echo dot.- You can only stream to stereo pair from Amazon Prime Music App.- No real support exists for this device. If you call amazon support staff, they will drive you crazy as they know nothing about this product and its features.- If you want to use it as kids toy, then it is ok to buy it as it can switch on and off lights that are compatible with Alexa.- Audio quality is very basic. Even a cheap Chinese product sounds better.- This is really a no no product for music lovers. You better buy either Sony or JBL soundbars with subwoofer for better quality music, though these may cost you beyond INR15k.- Alexa does not understands most of the commands. Apple Siri is way ahead of Alexa.- Amazon is not a software and hardware company. Don't expect quality software and hardware from them. You are being used as testers for their experimental products.",0.182142857,Positive
3,22,"Cons:1. Cant Line in with aux cable( echo and echo Plus does)2. Need power and internet all the time.3. Doesn't answer properly for most of your questions.4. context less answers5. Charger is not universal USB connection so you have to carry charger as well6. Hectic bluetooth connecting7. Could not automatically connect to previous wifi, you have to do setup every time when you switch between other routers.8. Less music provider skills (Amazon music and Saavn, Amazon music need prime)9. Bluetooth range is just about 4/5 meters.10. Look good but it would become look dirty because of cotton outer layer.Pros:1. Voice control2. Smart home3. Routines4. Fire TV Control(not yet released)It's like ok ok 3k product, I should have given 1 star for device but software inside device worth 4star. So...",0.11456044,Positive
5,19,"An incredible technology interface brought by Amazon. It's still our first week and I must say its has become an interface for me to enjoy the music across era's , create my own playlists, for my young kids to listen to stories and learning and improving general / world knowledge and learning different languages, for my mother to enjoy spiritual music while my better half getting amused how a kid of 4 years to elders in family all enjoy such a technology marvel all at the same time. Experience it, explore it and enjoy it... everyday.",0.227083333,Positive
1,19,Why the single star...I am about practicality... it's not easy to configure alexa...very cumbersome process...Alexa app is quite slow...once configured to a wifi network...you cannot really configure to any other wifi...which means Alexa cannot be taken to other places other than your home. Commands cannot be configured easily. No way to configure your playlist. A playlist that exists in Amazon or Saavn is pathetic. No proper way to configure or use wifi that is available in public or your vacation places. The continuous power supply is required. Please don't waste your money on this better get Jarvis or wait till this improves a lot,-0.0753663,Negative
1,17,"Extremely overstated product in ads and otherwise. Has bare minimum that it can do as it has only prime music as a source of music. Doesn't understand most of the commands and doesn't have a huge number of songs which are very common, this makes choices extremely limited! Pairing is a serious pain on most occasions and thus isn't much user friendly either. Came free as a result of card usage else would have been hurting like anything. I feel Google speakers would be much better considering it's search is based on what's there on the internet rather than a perticular site or app! Using an android I know what Google assistant is capable off as compared to baby dumb Alexa!",0.12290873,Positive
1,11,"I have to shout literally on this to activate this little mad speaker. Worked well for one month, now, sound quality is pathetic, lots of distortion, speaker is vibrating during playing of high notes. And about Bluetooth connection with other devices (smartphones) is just pathetic, no doubt it will connect fast but what's the use of you see lots of Audio lag while playing videos, also if you use it as a Bluetooth speaker then you're gone guys, low sound output and bass is not that much good.Note: before one month speaker quality is good and bass is punchy if you play online song by activating Alexa. But after a month with minimal usage, speaker sound is just pathetic, chik chik sound is coming while playing high notes.I am planning to ask Amazon for the replacement, let's see that experience and I'll update it if they replace this pathetic product.",-0.115875,Negative
5,17,"I have given this to all my grandparents, now they can call me with just their voice. Even if they fall or are in any emergency they can still call me and I can check in on them regularly with the drop in feature.It can also read them the bible and play them the songs they want, lets them check on the cricket score from bed and it can answer most of the trivia question they throw at it.",0.25,Positive
4,14,"First of all don't even compare it to google dot. That thing will take ages to catch up to the tailor-made experience of Amazon echo dot for India.Now being a smart speaker this thing is not like a regular bluetooth speaker which is used to play your music but it's an interactive device which works on your voice command(or the app). Playing music is just one of its features and it can do a lot of other things for you. Infact it's learning to do new skills everyday. You can control your electronics (lights, t.v., or any other device connected to smart plug) , set up cameras, play games, quizzes, order food, do calculations, listen to radio, ask the questions of general knowledge or any other random information that you want.The sound is more than perfect for a mid size room but you can always connect it to another speaker. I have connected mine to the UE Boom 2 and the resulting sound quality is just amazing.It obviously takes time and investment to reap all the benefits of this tiny device but for sure this little dot will change the way you live in an amazing way.",0.142672668,Positive
4,8,"Amazon Echo Dot ticks all the boxes, except it's sound quality. It's extremely powerful, smart and agile. The effort by the engineer's at Amazon shows. They have done a painstaking job to perfect Alexa. Microphones are powerful (Alexa even acted upon a request to play party music from a TV commercial!!). The sound quality needs to be worked upon. It's just not there. Considering that most of my requests are to play music, it needs to be crystal clear. It's not that small speakers can't sound good. JBL, for instance, sounds great even in its basic version. I had to invest in an extra Bluetooth speaker to make up the deficiency on the sound quality front ( Ultimate Ears Wonderboom costing Rs 4 k). Incidentally, I had a tough time searching for a compatible Bluetooth speaker as Amazon has not released any list of Echo Dot compatible speakers. I had made a call to Echo support and even the support executive could not help me. Finally after two cancellations, I hit upon Wonderboom, which is terrific with the Echo Dot.",0.255971277,Positive
1,9,The media could not be loaded.  Worst experience with alexa no warranty you get with this product.Amazon policy are worst. Ctdi partner an official amazon devices service partner.I have requested to Amazon to replace my alexa device with in the warranty period the refuses my request. issue is escalated bu amazon team but no follow up call can be held till today. They are giving fake excuses for service they are temporary un available for service of alexa after few days the warranty get to expire then they say your product warranty has expired so we did not give you a service for your product. “ excuse me amazon all of the world wide companies change their policies in national lockdown.” I think amazon policy are worst. They stand in the last of the top companies list. They have no customer satisfaction. Even apple has extended there warranty of their product in lockdown. Amazon shame Amazon shameful for you,-0.295,Negative
5,7,For 2000 using 10% off..you are getting a bulb worth 500...making echo dot 1500 which at roughly 20 dollars is same price you get in deals in USA. So no more asking friends to get them from there!!!! Anyone sitting on the fence can buy this instead of buying bluetooth speakers. This is 5th Echo dot including earlier versions and Google Mini doesnt even come close when it comes to smartness. While Google mini answers google search questions better - no one is buying a smart speaker for that. Its integration with smart devices is unparalled and my mini appears dumb most of the times. Just grab this before it goes back to its old price. Even the smart bulb is very helpful. While watching TV..just ask Alexa to turn bulb blue or red!! Not sure if this bulb can dim...if so..you can use this both as a day bulb and a night bulb. Just go for it before its too late,0.039880952,Positive
5,11,"It's true that Alexa could more than just a simple voice assistant that plays music on your request.It listens to anything you say and answers smartly. Alexa got an attitude which is quite amazing.Siri, Cortana, and other voice assistants are no match for Alexa. Alexa acts better than Google in terms of finding information.It can almost answer to any anything whether your question related to history, IPL cricket scores or mythology. Alexa answers all of them with details.You can literally have a conversation with her and she is a great distraction when you're really tired of talking to real people.The money you spend on this device is definitely worth its value and time.the only negative I have is that you have to connect the dot to the power source. I wish dot comes with an in-built battery backup and it could work for a few hours without the continuous power supply.",0.131377551,Positive
3,11,"All new ECHO DOT THIRD GEN looks compact but the sound quality is amazing for its size. After using it for nearly two weeks the following are it's pros and cons:PROS:1. ) Compact and relatively easy to setup.Check out the YouTube videos in case of doubt or look up Product HELP.2.) Once the product is synchronised with the Alexa app on your mobile ,it retains its memory even if the power fails, though it has no battery back up. Alexa on the cloud retains it's memory. !!3.) Amazing sound quality for it's size. Good treble and bass.4.) The new rounded look with fabric finish is pleasing to the eye.5.) Can be used as an alarm clock and reminder for frequent travelers provided your hotel has free WiFi and good power back up.CONS :1.) No battery back up .2.) Has not been programmed for Indian Railway and bus schedules. Programming, I am told is an ongoing process.",0.233670034,Positive
3,7,"Alexa - Good initiative, but lack of knowledge🧐 need more improvement in AI😴.Product Quality - Hardware and appreance are awesome🤗. But only works with Power socket, not chargeable one😒.Usage - It connects with your phone easily, it could recognise your voice easily. But it can only answer very easy and familier queations. Appart from that it will always say like ""sorry I don't know that one""😵. And each time you need to start conversations by saying Alexa, then only it will start recognise your commend. Within few minutes you will get a headache🤕.Music - When you say Alexa play music, their will play music from Hungama app. Very less collection is there. Especially Tamil songs are very very less. And mostly Alexa not playing the song which you ask. It will play on it's won. 🥴Finally - Good initiative from Amazon but needs of improvement. Because it will not working as they describe in the television add. 🤭",0.179777778,Positive
5,7,"I am using alexa dot 2nd Gen and today I have gifted dot 3rd Gen to my Daddy.1. I see of difference in sound quality compared 2nd gen. Sound quality is amazing.2. It is louder than 2nd Gen Dot3. One thing disappointed is that when say 'Alexa, play old telugu songs' in 2nd Gen Dot it Play old songs from retro station but in 3rd gen Dot it is playing telugu songs'(not telugu old songs). When I specially say 'Alexa play telugu retro station songs' it is playing old songs of specific combination of male and female singers.I will update the review after days again but it's 5 star rating for now",0.072619048,Positive
4,5,"Alexa vs Google homeAlexa has a very good speakers.Google has a average speakers.Alexa can recognize voice from anywhere in the corner of a 1600 sq ft house.Google finds it difficult in one go. Need multiple attempt.Alexa can play exactly the same music you ask for since it plays from Amazon music.Google home can be linked with spotify, you tube music and multiple songs app so it plays which is easy for it😃.Alexa can catch exact voice and words.Google takes multiple attempt.Both needs power connectivity all the time when you use.Both works on same concepts.Google home is better option only cause it connects YouTube. Youtube premium is not needed.Alexa is a better option if you are ok with the contents of Amazon music and other apps except YouTube.",0.160520833,Positive
